policy,policy_label,records,keys,simulation_start,simulation_end,stockout_quantity,stockout_frequency,service_level_proxy,service_level_target,ending_inventory,average_ending_inventory,excess_inventory,estimated_spoilage,potential_spoilage,replenishment_quantity,order_count,holding_cost,stockout_lost_sales_cost,spoilage_cost,ordering_cost,total_inventory_related_cost,observed_stockout_frequency,realized_service_level_target_met
simple_baseline,Existing baseline replenishment,6664,952,2024-06-26,2024-07-02,1467.271116,0.3494897959183674,0.7976531668668156,0.95,3841.7729130000002,0.5764965355642258,884.8460769999999,217.160716,238.40928499999998,6209.904584,6228,76.83545826,2200.906674,217.160716,31140.0,33634.90284826,0.3445378151260504,False
forecast_based,Forecast-based replenishment,6664,952,2024-06-26,2024-07-02,721.3533797225875,0.18592436974789917,0.900520380749603,0.95,7888.264374890782,1.1837131414902133,3296.3993740657656,345.09100204878234,443.3187610061607,8007.683360326447,5379,157.76528749781562,1082.0300695838814,345.09100204878234,26895.0,28479.886359130476,0.3445378151260504,False
ml_optimized,AI forecast + cost-aware replenishment,6664,952,2024-06-26,2024-07-02,594.944431,0.14285714285714285,0.9179530489012404,0.95,15125.482188999998,2.269730220438175,9445.883147465109,1183.1305109999998,1406.139798,10809.7,4492,302.50964378000003,892.4166465000001,1183.1305109999998,22460.0,24838.05680128,0.3445378151260504,False
